track,rate_metric,rate_label,pixel_rate_px_s,target_speed_mph,target_speed_mps,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_80mph_m,implied_slant_range_for_80mph_nm
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,10.0,1920,0.006252278,5720.0,3.089
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,20.0,1920,0.012504557,2860.0,1.544
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,0.5,1920,0.000912666,39185.4,21.158
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,1.0,1920,0.001825333,19592.7,10.579
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,2.0,1920,0.003650665,9796.4,5.29
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,4.0,1920,0.00730133,4898.2,2.645
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,8.0,1920,0.014602661,2449.1,1.322
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,10.0,1920,0.018253326,1959.3,1.058
phase_accepted_only: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,200.801,80.0,35.763,20.0,1920,0.036506652,979.6,0.529
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,0.5,1920,0.000441932,80924.7,43.696
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,1.0,1920,0.000883864,40462.3,21.848
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,2.0,1920,0.001767728,20231.2,10.924
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,4.0,1920,0.003535455,10115.6,5.462
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,8.0,1920,0.007070911,5057.8,2.731
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,10.0,1920,0.008838638,4046.2,2.185
phase_accepted_only: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,97.232,80.0,35.763,20.0,1920,0.017677276,2023.1,1.092
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,0.5,1920,0.001865107,19174.9,10.354
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,1.0,1920,0.003730214,9587.4,5.177
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,2.0,1920,0.007460428,4793.7,2.588
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,4.0,1920,0.014920856,2396.9,1.294
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,8.0,1920,0.029841712,1198.4,0.647
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,10.0,1920,0.03730214,958.7,0.518
phase_accepted_only: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.353,80.0,35.763,20.0,1920,0.074604281,479.4,0.259
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,0.5,1920,9.836e-06,3636076.2,1963.324
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,1.0,1920,1.9671e-05,1818038.1,981.662
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,2.0,1920,3.9343e-05,909019.0,490.831
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,4.0,1920,7.8685e-05,454509.5,245.416
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,8.0,1920,0.000157371,227254.8,122.708
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,10.0,1920,0.000196713,181803.8,98.166
phase_all: generally centered in FOV,net_rate_px_s,net start-to-end rate,2.164,80.0,35.763,20.0,1920,0.000393426,90901.9,49.083
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,0.5,1920,0.000403685,88591.9,47.836
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,1.0,1920,0.000807369,44296.0,23.918
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,2.0,1920,0.001614739,22148.0,11.959
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,4.0,1920,0.003229477,11074.0,5.979
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,8.0,1920,0.006458955,5537.0,2.99
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,10.0,1920,0.008073693,4429.6,2.392
phase_all: generally centered in FOV,path_average_rate_px_s,path-length average rate,88.817,80.0,35.763,20.0,1920,0.016147386,2214.8,1.196
